time,A,B,C,D,E,F
0.0,0.25,0.25,0.0,0.0,0.0,0.0
0.1000000002,0.205178765,0.297262669,0.017747984,0.017023321,0.001128218,0.000134877
0.1999999998,0.2185036,0.228078836,0.02909605,0.041096501,0.004294044,0.001021191
0.3,0.217623953,0.217976407,0.03796197,0.053479483,0.00591037,0.002549484
0.400000000199999,0.241183355,0.154933037,0.041043715,0.074162438,0.008709364,0.004594616
0.4999999998,0.169820082,0.148772418,0.054375295,0.099104468,0.010706277,0.007301102
0.6,0.176918429,0.136357107,0.052108996,0.121235171,0.011964201,0.008406559
0.7000000002,0.165177094,0.139399614,0.051393491,0.110493853,0.014960103,0.012738715
0.7999999998,0.129418006,0.10923941,0.064936981,0.154989877,0.016204451,0.018222063
0.8999999999999999,0.148336619,0.107443661,0.057250654,0.159475557,0.020552214,0.018642559
1.0,0.123552645,0.071247862,0.056054844,0.15927128,0.018317307,0.021162552
1.1,0.158931047,0.077161046,0.058520832,0.166689528,0.017493458,0.021794105
1.2,0.130446458,0.065481824,0.055667189,0.174753813,0.023475021,0.025705337
1.3,0.141551454,0.053611069,0.054357781,0.180702698,0.023338531,0.028510469
1.399999999999999,0.130027826,0.059652518,0.077031668,0.193676506,0.020738651,0.031029504
1.5,0.139314037,0.052059379,0.071912238,0.20039092,0.018350944,0.030312885
1.6,0.125189565,0.045311788,0.06374254,0.22176043,0.020949295,0.032268674
1.699999999999999,0.137844113,0.034909615,0.054149809,0.241741535,0.021847007,0.041440055
1.7999999999999998,0.139438196,0.039984788,0.056632891,0.224061749,0.023039668,0.02767034
1.9,0.150446689,0.033179617,0.060941977,0.2133724,0.022022979,0.045117962
2.0,0.12476612,0.027747108,0.066969842,0.235239045,0.023787414,0.039208386
2.1,0.099179864,0.025581531,0.053800372,0.22858992,0.023815653,0.042744033
2.2,0.114688834,0.022180852,0.047607786,0.203823761,0.020156617,0.033087011
2.299999999999999,0.141196237,0.016770185,0.053071539,0.251472945,0.020948467,0.038054534
2.4,0.1103478,0.017626107,0.064126104,0.238974999,0.02151091,0.039968088
2.5,0.134743897,0.014848808,0.064473578,0.23696523,0.022128139,0.043475035
2.6,0.123853798,0.013040032,0.064834528,0.247680817,0.022632021,0.035193032
2.7,0.139310426,0.011413141,0.061208658,0.243292259,0.023471417,0.044746491
2.799999999999999,0.097546698,0.010905064,0.063140234,0.216027713,0.016378684,0.03792735
2.9,0.118532811,0.00822438,0.059033761,0.235824641,0.022467146,0.043836482
3.0,0.105993375,0.01006966,0.067310448,0.237298671,0.026513476,0.046756927
